id,firstName,lastName
8222,Chris,Sequerra
8305,Dan,Schaeffer
1181,Mike,Sekowsky
8402,Dugan,Trodglen
8648,Jacen,Burrows
8748,Jill,Thompson
8751,Jim,Callahan
1384,Terrell,Bobbett
10134,Andres,Guinaldo
1439,Al,Gabriele
9063,Martin,Egeland
9259,Phil,Gascoine
9307,Rian,Hughes
9469,Stephen,Thompson
9549,Tim,Hildebrandt
74,Chuck,Dixon
9657,W.,Chan
10103,Jason,Alexander
10055,Guillermo,Ortego
10188,MIGUEL,MUNERA
10045,Seth,Grahame-Smith
1305,Steve,Dahlman
784,Kevin,Lau
2042,Charles,Vess
987,Matt,Wagner
1322,Mary,Wilshire
5401,Jack,Harris
4327,Michael,Zulli
941,Rick,Burchett
10461,Carla,McNeil
8824,Jorge,Aguilar
1329,Ethan,Sciver
3415,John,Calimee
2706,Dann,Thomas
6112,Hector,Gomez
1359,Wayne,Boring
4844,Steve,Parkhouse
1303,Paul,Gustavson
371,David,Hine
9207,Oscar,Jimenez
3138,Pat,Mills
1446,Sid,Greene
4333,Eric,Stephenson
10118,David,Wellington
8701,Javier,Grillo-Marxuach
4501,Ashley,Wood
9983,Ernie,Hart
5715,Daniel,Goodbrey
2507,Cary,Nord
11600,Anthony,Cotilletta
1005,Carlos,Magno
2321,Jeff,Matsuda
6284,Nick,Napolitano
1167,Ross,Andru
1406,Kano,
1169,William,Messnerloebs
8699,Javier,Menor
3780,J.j.,Birch
1353,Greg,Larocque
7464,JOE,BENNET
2340,John,Statema
6082,Paris,Cullins
8346,David,Klein
8940,Leo,Duranona
5131,Shawn,Moll
368,Simon,Furman
6532,Bob,Wakelin
3940,Rafael,Kayanan
4201,Bob,Almond
9457,Stefano,Landini
3787,Malcolm,Davis
8827,Jorge,Zaffino
2292,Gordon,Purcell
4792,Todd,Smith
713,Ryan,Sook
1307,Steve,Yeowell
9999,Eugene,Son
656,Dante,Bastianoni
986,Tom,Derenick
4591,Ramon,Bernado
1940,Karl,Altstaetter
1357,Harry,Sahle
223,Doug,Moench
5320,Irwin,Hasen
519,Gail,Simone
10928,JORGE,MANZANERO
4028,Wilfred,Santiago
10918,MICHAEL,SUAYAN
60,Arnold,Drake
6086,Geoff,Senior
1355,Howard,James
10609,WILD,CORP
2302,Jan,Duursema
3446,Guang,Yap
3595,Dietrich,Smith
7816,Glenn,Dakin
1188,Jamal,Igle
106,Bob,Brown
4795,Deryl,Skelton
961,Ben,Thompson
7546,GUISSEPPE,CAMMUNCOLI
4145,Ruben,Diaz
3762,Cefn,Ridout
7347,Will,Harr
1354,Rob,Haynes
3633,Chris,Batista
11511,Jeffrey,York
837,Mark,Pennington
9992,Tim,Levins
8487,Fabrice,Sapolsky
5591,Will,Meugniot
4565,Matt,Nixon
3655,Will,Simpson
5631,Harvey,Talibao
699,Norman,Lee
6145,Kilian,Plunkett
393,Casey,Jones
2722,Scott,Benson
3743,Mindy,Newell
408,Carl,Burgos
549,Lewis,Larosa
127,John,Leon
1245,Mike,Friedrich
1455,Maurice,Gutwirth
1499,Otto,Binder
167,Kevin,Sharpe
1134,Daniele,Rudoni
8700,Javier,Barranco
3436,Bo,Hampton
2048,Paty,Cockrum
9554,Timothy,Zahn
5033,Clint,Langley
11615,Jordi,Garcia
61,Jim,Steranko
8064,Audrey,Loeb
2059,Mike,Harris
8264,Cynthia,Martin
3483,Mark,Beachum
3802,Patrick,Rolo
2112,Larry,Alexander
3389,Ian,Akin
1456,Jack,Binder
956,Werner,Roth
11355,AUDREY,LOEB
760,Neil,Kleid
2027,Luke,McDonnell
1342,Russ,Heath
753,John,Lucas
1301,Tom,Grindberg
762,Gary,Erskine
4658,Cary,Burkett
10171,Joshua,Fine
11401,various,
4661,Joe,Brozowski
10049,Chris,Staggs
736,Jai,Nitz
1259,Virgilio,Redondo
8758,Jim,Rugg
5933,Patrick,Gleason
8139,Bradley,Parker
9614,Tristan,Schane
9086,Matthew,Smith
655,Cliff,Richards
5119,Mike,Lilly
2498,Alan,Chichester
397,Al,Williamson
181,Geoff,Johns
2797,Roy,Richardson
7435,IAN,EDGINGTON
9587,Tony,Skinner
563,Vince,Russell
2964,Chris,Renaud
8770,Joe,Edkin
1015,Charlie,Huston
2626,Alan,Zelenetz
3673,Robert,Brown
6738,Udon,Studios
3782,Kris,Renkewitz
5971,Manny,Clark
11123,Mary,Choi
8640,Isaac,Cordova
968,Frank,Robbins
1209,Gary,Friedrich
4039,Bernard,Chang
4523,Val,Semeiks
5729,Anthony,Castrillo
4996,Mark,Miller
3894,Tony,Salmons
5187,Evan,Dorkin
20,David,Mazzucchelli
15,Alan,Moore
1260,Yong,Montano
7,Devin,Rucka
29,Yoshitaka,Amano
59,Ben,Dunn
81,Duncan,Camuncoli
115,David,Tischman
117,David,Macan
122,Chriscross,Sotomayor
142,Rod,Whigham
143,Trent,Kaniuga
168,John,Rieber
176,J.,Calafiore
186,D.,Wells
187,D.,Haspiel
195,Bruce,Timm
200,Claudio,Castellini
203,J.,Bennett
205,M.,Ryan
217,Arthur,Ranson
219,Kia,Asamiya
237,Jeff,Jensen
238,Celia,Calle
240,Marcelo,Sosa
242,Judith,OBrien
245,Jim,Mahfood
253,Craig,Thompson
257,Rick,Mays
266,Udonj.j.,Kirby
275,J.,Torres
276,Makoto,Nakatsuka
284,Rieber,Ney
326,Daniel,Quantz
335,Stacy,Weiss
336,Dan,Chariton
337,Milx,Medina
338,Staz,Johnson
355,Talent,Caldwell
369,James,Raiz
370,Eric,Dickey
381,Stephen,Jones
382,Rik,Levins
386,Rick,Hoberg
387,Bill,Black
395,Marcoliver,Frisch
401,John,Lustig
406,Mark,Beagley
409,Liquid,Graphics
411,Christina,Weir
414,Colin,Mitchell
416,Don,Hillsman
417,Tom,Fleming
432,Andy,Park
439,Joe,Seung
6251,P.T.,Sharpefront
457,Gotham,Group
460,Tony,Harris
463,Adam,Higgs
464,J.t.,Krul
476,Drew,Geraci
5934,Tom,Nguyen
5931,Mark,McHenna
484,Larry,Stucker
489,Philip,Tan
490,Pat,Lee
491,Mark,Ricketts
492,Tom,Feister
499,Jay,Bone
508,Marvel,Knights
523,Bill,Reinhold
6141,Frankie,Erant
530,Andy,Brase
531,Javi,Montes
533,Keu,Cha
534,William,Murai
542,J.,Smith
545,Duncan,Fegredo
546,Brian,Ashmore
550,Thomas,Derenick
555,Mizuki,Sakakibara
557,James,Calafiore
5048,Luis,Lira
576,Jon,Proctor
578,Fiona,Avery
583,Eddie,Campbell
587,Cream,Animation
595,Nick,Craine
602,Pat,Quinn
606,Tsutomu,Nihei
609,Samm,Barnes
618,Transparency,Digital
620,Tom,Simmons
621,Adriana,Melo
622,Eric,Cannon
623,Watson,Jemas
629,Tony,Lee
631,Estudio,Fenix
633,Weir,DeFilippis
634,Shinkiro,
635,Joseph,Goodrich
636,Brian,Lynch
641,Javier,Saltares
647,Kris,Justice
660,Tang,Coloring
5921,Robert,Piotrowski
675,Giulia,Brusco
678,Kevin,Anderson
680,Chris,Walker
688,Michael,OHare
689,Derek,Fridolfs
691,Jonboy,Meyers
697,Bright,Studios
702,Sheldon,Allen
705,Kim,Johnson
706,Martin,Sweeny
707,Matt,Manning
710,Joe,Hill
711,Joshua,Ortega
712,Seth,Fisher
715,Petar,Bridges
716,Drew,Johnson
720,Pia,Guerra
722,Jason,Miller
724,Alberto,Dose
727,Joo,Silveira
730,Joe,Reitman
732,Merrill,Hagan
734,Lee,Barnett
737,Scott,Killinger
738,Vito,Delsante
739,Lee,Ferguson
740,Paul,Benson
742,Arvid,Nelson
743,Paul,Filippo
744,James,Peaty
746,Joe,Meno
747,Jose,Higon
749,Billy,Patton
751,Christopher,Long
754,Hugh,Stebakov
755,Damon,Hurd
756,Mike,Ratera
763,Jack,Jadson
764,Bart,Sears
767,Mike,Atiyeh
770,Chris,Brunner
775,Jim,Muniz
777,Jim,Royal
779,Matt,Banning
782,Allan,Jacobsen
787,Andrew,Blase
788,Alejandro,Sicat
793,Justin,Holman
795,David,Newbold
800,Brad,Vancata
804,Duncan,Rouleau
810,Hans,Rodionoff
811,Richard,Morgan
813,David,Lloyd
815,Katsuya,Terada
816,Shin,Nagasawa
818,James,Jean
821,Jonathan,Glapion
831,Steve,Niles
836,Byron,Penaranda
838,Jamie,Tolagson
839,David,Self
844,James,Pascoe
846,James,Rochelle
848,Peter,Johnson
849,Matt,Cherniss
852,Sergio,Toppi
854,Oclair,Albert
859,Karl,Zinsmeister
862,Sara,Barnes
866,Chris,Gossett
867,Cory,Walker
869,Phil,Hester
870,Ande,Parks
879,Shaenon,Garrity
881,Brandon,Thomas
883,Jeevan,Kang
884,Suresh,Seetharaman
885,Sharad,Devarajan
886,Clem,Robins
890,Daniel,Knauf
898,Bill,Lentz
899,Mark,OEnglish
900,Barry,Reese
903,Anthony,Flamini
904,Chris,Biggs
905,Al,Sjoerdsma
907,Heather,Buchanan
908,Kerry,Wilkinson
909,Eric,Engelhard
910,Jason,Godin
911,Bryan,Thiessen
912,Danny,Salgo
914,John,Stanisci
919,Jonathan,Coupersmartt
920,Mostafa,Moussa
921,Kitty,Fross
923,Erica,David
924,Antonio,Garcia
940,Roy,Martinez
950,Ed,Herron
951,Jon,Haward
952,Jim,Alexander
953,Gard,Friedrich
971,Disraeli,
972,Kevin,Conrad
973,Matt,Nelson
1001,Brendan,Cahill
1009,Tom,Sniegoski
1010,Arnold,Pander
1012,Mick,Gray
1016,Eduardo,Francisco
1020,Fabrizio,Fiorentino
1022,Juan,Homs
5013,David,Wiltfong
1024,Frank,Espinosa
1046,Art,Lyon
1047,Jonathan,Luna
1053,Len,Ogrady
1056,John,Workman
1058,Sean,Scoffield
1060,Steve,Robertson
1061,Mike,Thibodeaux
1069,Damon,Lindelof
1076,Homs,
1083,Gez,Fry
1086,Robert,Fleming
1087,Kirsten,Sinclair
1094,Rick,Berry
1095,Rich,Margopoulos
1096,Eric,Wight
1098,Doug,Gregory
1099,Jimmie,Robinson
1104,Javier,Grillomarxuach
1110,Javier,Paludo
1114,Claire,Wendling
1115,Kei,Kobayashi
1119,Michelle,Madsen
1120,Tamora,Pierce
1121,Timothy,Liebe
1126,Juan,Cruz
1131,Stephane,Peru
1136,Billy,Tucci
1145,Jeremy,Haun
1150,Stacie,Ritchie
1152,Nova,Studio
1157,Caanan,White
1158,Monte,Cook
1161,George,Prez
1171,Joe,Dodd
1190,Dax,Gordine
1191,Eric,Vedder
1194,Robert,Weinberg
1201,Louise,Gikow
1203,Marc,Cerasini
1204,SnoCone,Ltd.
1208,Boris,Vallejo
1215,Billy,Graham
1239,Jerry,Siegel
1242,Mark,Friedrich
1250,Jeff,Purves
1253,Greg,Theakston
1261,Tony,Dipreta
1266,And,More
1268,More,
1280,Linda,Fite
1287,Al,Hartley
1289,Robert,Bernstein
1311,Lee,Elias
1316,M.d.,Bright
1320,Virgin,Llc
1324,Carla,Conway
1328,Juan,Barranco
1332,Brandon,Choi
1337,Ed,Benes
1338,Ryan,Benjamin
1341,Norm,Breyfogle
1345,Phil,Hale
1346,Lee,Hammock
1347,Brett,Lewis
1349,Ed,Lee
1350,Jean,Giraud
1360,Ron,Goulart
1363,George,Martin
1365,Jean,Hamme
1366,William,Vance
1367,Aspen,Inc.
1370,Chris,Kipiniak
6114,Steve,Duturo
1379,William,Sparacio
1387,Adriano,Batista
1393,Dennis,Jensen
1398,Lance,Laspina
1399,Michael,Lent
1401,Afua,Richardson
1402,Barb,Liencooper
1403,Park,Cooper
1404,Jimmy,Bott
1422,Ricardo,Tercio
1423,David,Sexton
1424,James,Cooper
1426,Denis,Medri
1427,Paco,Roca
1431,Ave,Collen
1434,Martin,Goodman
1436,Tohm,Dixon
7275,Colin,Salmon
1441,Clyde,Yeadon
1443,Bob,Montana
1445,Vince,Fago
1451,Charles,Nicholas
1453,Allen,Simon
1460,Harold,DeLay
1461,Frank,Bolle
1462,Gustav,Schrotter
1469,Bill,Finger
1470,Steve,Douglas
1479,Bill,King
1480,Jack,DArcy
1481,Hank,Chapman
1483,George,Kapitan
1484,Bill,Jay
1488,Ray,Houlihan
1489,Jack,Alderman
1492,Bob,Oksner
1493,Chad,Grothkopf
1496,Illo,
1503,As,Robin
1504,Al,Liederman
5954,Rachel,Pinnock
1507,Mortimer,Breen
1508,Guy,Blythe
1509,Reed,Crandall
1510,Ray,Cummings
1511,Mac,Raboy
1512,Zac,Gabel
1514,Frank,Borth
1515,Vic,Dowd
1516,Harvey,Kurtzman
1518,George,Mandell
1520,Justin,Triem
1521,Al,Fago
1522,Kermit,Jaediker
1524,Alex,Toth
1525,Peppe,
1526,Chu,Hing
1528,Matt,Baker
1530,Bob,Forgione
1534,Manny,Stallman
1535,Bernie,Krigstein
1536,Bill,Benulis
1541,John,Duffy
1543,Terry,Szenics
1544,Ray,Holloway
1545,Marty,Epp
1546,Bill,Walton
1547,H.e.,Huntley
1549,Matt,Fox
1550,Sam,Harold
1559,See,Notes
1566,J.,T.
1567,Larry,Woromay
1586,Sam,Kweskin
1587,Vic,Dowling
1588,Bob,Stuart
1593,Al,Kurzrok
1594,Harry,Anderson
1595,Sy,Barry
1596,Louis,Zansky
1597,Raymond,Marais
1598,Jim,Lawrence
1599,Jerry,Robinson
1600,C.,Winter
1601,Dick,Briefer
1603,Joe,Certa
1604,Bob,Fujitani
1605,Morris,Marcus
1606,Frank,Siemienski
1607,Norman,Steinberg
1608,Ed,Moore
1609,Ed,Moline
1610,Sheldon,Moldoff
1611,Bob,McCarty
1613,Louis,Ravielli
1614,Gil,Evans
1616,Vic,Carrabotta
1617,Myron,Fass
1618,Art,Peddy
1619,Mac,Pakula
1621,Vernon,Henkel
1622,Pete,Tumlinson
1624,Bob,Correa
1625,Bill,Savage
1626,Al,Eadeh
1627,Mort,Lawrence
1629,Bill,LaCava
1630,Mort,Drucker
1633,Kurt,Schaffenberger
1634,Norman,Maurer
1635,Carl,Hubbell
1636,Joe,Orlando
1637,Doug,Wildey
1638,Steve,Kirkel
1639,Jack,Keller
1640,Bernard,Baily
1641,Mort,Meskin
1642,Harry,Lazarus
1643,John,Giunta
1644,Herb,Familton
1645,Hy,Fleishman
1646,Dave,Berg
1647,Pete,Morisi
1648,Angelo,Torres
1649,Howard,ODonnell
1650,Marvin,Stein
1651,Richard,Doxsee
1652,Ralph,Mayo
1655,Dan,Loprino
1656,Sy,Grudko
1657,J.,Makowski
1658,Ruben,Moreira
1661,Jack,Davis
1664,Bob,Baer
1665,Marty,Elkin
1666,Cal,Massey
1667,Howard,Nostrand
1668,Tony,Preta
1670,Al,Luster
1671,Mannie,Banks
1672,Paul,Hodge
1673,Sid,Check
1676,Gantz,
1680,Ann,Brewster
1681,Goldberg,
1682,Lou,Cameron
1683,Ted,Galindo
1690,Martin,Epp
1695,E.,Thomas
1703,The,Secretary
1709,Johnny,Craig
1716,Reads,Deinman
1722,Ernest,Hart
1727,Leon,Lazarus
1737,Jerry,Grandenetti
1741,Mike,Stevens
1758,Jan,Brunner
1761,Top,Of
6109,Gaspar,Salandino
1775,Phil,Rachelson
1778,Dan,Crespi
1787,Michele,Wolfman
1791,Script,Pages
5043,Steve,Leiber
1817,Barry,Grossman
1842,Jerome,Moore
1870,Chiang,
1884,Romeo,Tanghal
1889,Sean,Workman
1897,Jack,Fury
1898,Mike,DeCarlo
1899,Max,Scheele
10024,Chance,Fiveash
1905,Rex,Valve
1912,Gracine,Tanaka
1919,Nella,Milgrom
1932,Ed,Lazellari
5021,Paul,Benjamin
1936,Gina,Going
1941,Joe,Chiodo
1942,Jeffrey,Simons
1943,Joel,Rodgers
1944,Jim,DeSimone
1945,Mark,Bernardo
1946,Wendy,Geyer
1947,David,Sharpe
1955,Lia,Pelosi
1956,Giacoia,Wood
1960,Joseph,Caponsacco
1968,Scott,Marshall
1974,Andrea,Hunt
1976,Michelle,Brand
2018,Mark,Rogan
2028,John,Morelli
2035,Mark,Burbey
2037,Kevin,Dzuban
2039,Bob,DeNatale
2046,William,Johnson
2054,Original,Colorist
2055,Bw,colorist
2057,Russ,Steffens
2064,Art,Nichols
2067,Steve,Geiger
2069,Janet,Jackson
2073,Mark,Chiarello
2076,Mike,Machlan
2079,As,Company
2089,Joey,Cavalieri
2108,Amy,Meyer
2121,Robin,Riggs
2122,Beck,Freeman
2139,Jean,Izzo
2141,June,Braverman
6184,Steve,Desmond
2148,Title,
2158,Hugh,Paley
2169,Irene,Vartanoff
2178,Ken,Klaczak
6195,Carl,Hubell
2194,Mario,Sen
6196,Mike,Demeo
6193,Terry,Szenicks
2218,Jacks,Helpers
6117,Sarah,Byam
2234,Embellishers,Assembled
2236,Top,Page
2253,Garvey,
2254,Joe,Delbeato
2256,John,Wellington
2258,Lopez,
2265,Gary,Fields
2267,Jim,Reddington
2268,Mickey,Ritter
2269,Bob,Mackie
2272,Diverse,Hands
2273,Reggie,Jones
2276,Tinsley,Scott
2277,Mossoff,Skolnik
2278,Paul,Abrams
2284,Kossoff,
2289,Alexandrov,
2293,Fredericks,
2299,Babcock,
2300,Jim,Hall
2304,Tom,Yates
2307,Maria,Deccari
2309,Susan,Crespi
2310,Ovi,Hondru
